Date;mm
Friday 29Oct-10;15,0
Thursday 04Nov-10;3,0
Friday 05Nov-10;4,0
Wednesday 10Nov-10;4,0
Sunday 14Nov-10;4,0
Tuesday 16Nov-10;6,5
Friday 19Nov-10;5,9
Tuesday 23Nov-10;28,0
Wednesday 24Nov-10;1,0
Thursday 02Dec-10;34,0
Thursday 09Dec-10;2,0
Sunday 12Dec-10;19,0
Monday 13Dec-10;1,0
Tuesday 14Dec-10;7,0
Wednesday 15Dec-10;9,0
Thursday 16Dec-10;90,0
Friday 17Dec-10;24,5
Sunday 19Dec-10;3,0
Monday 20Dec-10;12,0
Tuesday 28Dec-10;20,0
Wednesday 29Dec-10;7,5
Friday 31Dec-10;50,0
Saturday 01Jan-11;32,0
Sunday 02Jan-11;10,0
Monday 03Jan-11;26,0
Wednesday 05Jan-11;15,0
Thursday 06Jan-11;27,0
Sunday 09Jan-11;8,0
Monday 10Jan-11;4,0
Monday 17Jan-11;15,0
Tuesday 18Jan-11;60,0
Wednesday 19Jan-11;3,5
Saturday 22Jan-11;5,0
Monday 24Jan-11;12,0
Thursday 27Jan-11;39,0
Thursday 03Feb-11;32,0
Tuesday 08Feb-11;28,0
Sunday 13Feb-11;28,0
Sunday 20Feb-11;6,0
Wednesday 23Feb-11;18,0
Saturday 26Feb-11;10,5
Monday 14Mar-11;36,0
Wednesday 16Mar-11;6,0
Thursday 17Mar-11;50,0
Sunday 20Mar-11;40,0
Monday 28Mar-11;53,0
Monday 04Apr-11;3,0
Tuesday 05Apr-11;2,0
Thursday 07Apr-11;4,0
Monday 11Apr-11;3,2
Sunday 17Apr-11;22,5
Wednesday 27Apr-11;7,5
Saturday 16Apr-11;8,0
Saturday 30Apr-11;14,0
Sunday 08May-11;11,0
Thursday 09Jun-11;15,0
Monday 15Aug-11;10,0
Wednesday 14Sept-11;5,0
Saturday 24Sept-11;5,0
Saturday 01Oct-11;25,0
Sunday 02Oct-11;11,5
Wednesday 19Oct-11;8,0
Saturday 29Oct-11;24,0
Sunday 30Oct-11;12,0
Monday 31Oct-11;7,0
Saturday 05Nov-11;13,0
Sunday 13Nov-11;10,0
Sunday 20Nov-11;44,0
Tuesday 22Nov-11;70,0
Wednesday 23Nov-11;8,0
Sunday 27Nov-11;5,0
Thursday 08Dec-11;12,0
Friday 09Dec-11;34,0
Tuesday 13Dec-11;8,0
Thursday 22Dec-11;3,0
Friday 23Dec-11;18,0
Monday 26Dec-11;60,0
Tuesday 27Dec-11;4,0
Monday 02Jan-12;14,0
Wednesday 04Jan-12;1,0
Saturday 07Jan-12;15,0
Monday 09Jan-12;7,0
Wednesday 11Jan-12;8,0
Saturday 28Jan-12;32,0
Sunday 29Jan-12;3,0
Monday 06Feb-12;3,0
Sunday 12Feb-12;13,0
Saturday 18Feb-12;20,0
Sunday 19Feb-12;5,0
Wednesday 22Feb-12;19,0
Thursday 23Feb-12;7,0
Sunday 26Feb-12;26,0
Thursday 08Mar-12;17,0
Sunday 11Mar-12;1,5
Monday 12Mar-12;2,0
Thursday 29Mar-12;26,0
Friday 30Mar-12;7,0
Saturday 31Mar-12;17,0
Thursday 19Apr-12;2,2
Sunday 22Apr-12;5,0
Tuesday 24Apr-12;6,0
Saturday 28Apr-12;3,0
Thursday 06Sept-12;22,0
Friday 07Sept-12;38,0
Saturday 08Sept-12;4,0
Sunday 16Sept-12;18,0
Wednesday 12Sept-12;2,0
Friday 12Oct-12;20,0
Saturday 13Oct-12;37,0
Wednesday 17Oct-12;20,0
Thursday 18Oct-12;2,8
Saturday 20Oct-12;3,5
Monday 22Oct-12;12,0
Wednesday 24Oct-12;19,5
Friday 26Oct-12;2,5
Sunday 28Oct-12;5,6
Tuesday 30Oct-12;3,9
Wednesday 31Oct-12;1,0
Thursday 01Nov-12;3,0
Friday 09Nov-12;3,5
Tuesday 13Nov-12;2,2
Saturday 17Nov-12;6,0
Thursday 22Nov-12;1,0
Friday 23Nov-12;48,0
Saturday 24Nov-12;50,0
Sunday 25Nov-12;32,0
Monday 03Dec-12;13,8
Tuesday 04Dec-12;21,8
Thursday 06Dec-12;1,0
Monday 10Dec-12;4,2
Tuesday 11Dec-12;9,0
Wednesday 12Dec-12;9,0
Saturday 15Dec-12;24,0
Sunday 16Dec-12;8,0
Wednesday 19Dec-12;6,0
Friday 21Dec-12;11,0
Saturday 22Dec-12;7,0
Wednesday 26Dec-12;20,0
Thursday 27Dec-12;4,0
Monday 31Dec-12;0,3
Saturday 12Jan-13;1,8
Tuesday 15Jan-13;21,0
Saturday 19Jan-13;14,0
Sunday 20Jan-13;9,0
Saturday 26Jan-13;1,5
Monday 28Jan-13;4,2
Tuesday 29Jan-13;5,0
Friday 01Feb-13;2,0
Tuesday 05Feb-13;2,5
Wednesday 06Feb-13;21,0
Thursday 07Feb-13;5,0
Friday 08Feb-13;6,0
Sunday 10Feb-13;18,9
Tuesday 12Feb-13;1,3
Wednesday 13Feb-13;7,0
Saturday 16Feb-13;6,0
Tuesday 19Feb-13;14,0
Friday 01Mar-13;5,0
Friday 08Mar-13;3,3
Thursday 14Mar-13;3,8
Saturday 16Mar-13;3,0
Tuesday 26Mar-13;26,0
Wednesday 03Apr-13;10,0
Thursday 04Apr-13;18,0
Saturday 13Apr-13;5,5
Saturday 20Apr-13;55,0
Sunday 19May-13;1,8
Friday 09Aug-13;4,0
Friday 13Sept-13;4,2
Tuesday 08Oct-13;10,0
Friday 11Oct-13;4,5
Monday 21Oct-13;48,0
Tuesday 22Oct-13;20,0
Friday 25Oct-13;2,8
Saturday 26Oct-13;1,2
Tuesday 29Oct-13;8,0
Wednesday 30Oct-13;2,8
Thursday 31Oct-13;1,7
Tuesday 12Nov-13;14,0
Thursday 14Nov-13;19,0
Thursday 21Nov-13;20,0
Sunday 24Nov-13;4,0
Wednesday 27Nov-13;10,0
Thursday 28Nov-13;1,9
Friday 29Nov-13;14,0
Sunday 01Dec-13;6,0
Tuesday 03Dec-13;75,0
Wednesday 04Dec-13;4,0
Tuesday 10Dec-13;5,0
Wednesday 11Dec-13;32,0
Thursday 12Dec-13;12,2
Friday 13Dec-13;2,2
Sunday 15Dec-13;5,1
Wednesday 18Dec-13;28,0
Thursday 19Dec-13;36,0
Friday 20Dec-13;12,2
Saturday 28Dec-13;5,0
Monday 30Dec-13;12,0
